planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
83 Leo Bc,0.0563,,,83 Leo B,5.4,0.83,0.96,4,4740
8 Umi b,1.65,,,8 Umi,0.462,1.8,9.9,1.7,4847.4
94 Cet Ab,1.37,,,94 Cet A,1.305,1.34,1.93,8.91,5984
AB Aur b,9,,,AB Aur,93.9,2.4,,0.002,
AB Dor C b,13,,,AB Dor C,0.58,0.072,,,
AB Pic b,13.5,1.75,1700,AB Pic,275,,,0.03,5285
AD 3116 b,54.2,1.02,,AD 3116,,0.276,0.29,,3200
AE 1 b,21,,,AE 1,0.0002468,1.31,0.01,,14000
AF Lep b,2.8,1.33,1800,AF Lep,8.2,1.2,1.25,0.024,6130
AL Com b,40,,,AL Com,0.00249,0.6,0.01,,16300
Aldebaran b,,,,Aldebaran,,1.13,45.1,6.6,4055
alf Ari b,1.8,,,alf Ari,1.2,1.5,13.9,,4553
AS 205 A b,19.25,,,AS 205A,0.162,0.9,3.7,,4300
ASASSN-16kr b,42,1.05,,ASASSN-16kr,0.003,0.952,0.0083,,
ASASSN-17jf b,60,1.12,,ASASSN-17jf,0.0026,0.669,0.012,,
AU Mic b,0.116,0.4571,569.5,AU Mic,0.08305,0.5,0.75,0.022,3700
AU Mic c,0.101,0.28,436,AU Mic,0.1417,0.5,0.75,0.022,3700
AU Mic d,0.003187,,,AU Mic,,0.5,0.75,0.022,3700
b Cen b,10.9,,,b Cen,556,5.5,,0.015,
BD-00 4475 b,23.05,,,BD-00 4475,1.48,,,,
BD+03 2562 b,6.4,,,BD+03 2562,1.3,1.14,32.35,5.25,4095
BD-06 1339 c,0.17,,,BD-06 1339,0.435,0.7,,4.4,4324
BD-06 1339 d,0.0582,,,BD-06 1339,1.06,0.7,,4.4,4324
BD-06 1339 e,0.0104,,,BD-06 1339,0.03,0.7,,4.4,4324
BD-08 2823 b,0.045,,,BD-08 2823,0.056,0.74,,4.5,4746
BD-08 2823 c,0.33,,,BD-08 2823,0.68,0.74,,4.5,4746
BD-10 3166 b,0.46,1.03,,BD-10 3166,0.046,0.99,1.71,4.18,5400
BD-11 4672 b,0.65,,,BD-11 4672,2.36,0.571,0.52,4.4,4475
BD-11 4672 c,0.04836,,,BD-11 4672,0.3,0.571,0.52,4.4,4475
BD+14 4559 b,1.47,,,BD+14 4559,0.777,0.86,,,5008
BD+15 2375 b,1.06,,,BD+15 2375,0.576,1.08,8.95,7.4,4649
BD+15 2940 b,1.11,,,BD+15 2940,0.539,1.1,14.7,7.1,4796
BD-17 63 b,5.1,,,BD-17 63,1.34,0.74,0.69,4.3,4714
BD+20 2457 b,21.42,,,BD+20 2457,1.45,2.8,,,4127
BD+20 2457 c,12.47,,,BD+20 2457,2.01,2.8,,,4127
BD+20 274 b,4.2,,,BD+20 274,1.3,0.8,17.3,,4296
BD+20 594 b,0.07,0.23,386,BD+20 594,0.241,1.67,1.08,3.34,5766
BD-21 397 c,4.8,,,BD-21 397,5.9,0.679,0.747,6.2,4051
BD+24 4697 b,53,,,BD+24 4697,0.5,0.75,,,5077
BD+26 1888 b,26,,,BD+26 1888,1.19,0.76,,,4748
BD+45 564 b,1.36,,,BD+45 564,0.83,,,,
BD+48 738 b,0.91,,,BD +48 738,1,0.74,11,,4414
BD+48 740 b,1.7,,,BD+48 740,1.7,1.09,10.33,,4534
BD+49 828 b,1.6,,,BD+49 828,4.2,1.52,7.6,2.3,4943
BD+55 362 b,0.72,,,BD+55 362,0.78,,,,
BD+60 1417 b,15,1.31,1303,BD+60 1417,1662,1,0.797,0.1,4993
BD+63 1405 b,3.96,,,BD+63 1405,2.06,,,,
beta Cir b,56,,2084,beta Cir,6656,1.96,,0.367,8676
beta Cnc b,7.8,,,beta Cnc,1.7,1.7,48.96,1.85,3990
bet And b,28.26,,,bet And,2.03,,86.4,,3802
beta Pic b,11.9,1.65,,beta Pic,9.93,1.73,1.8,0.04,8052
beta Pic c,8.89,1.2,1250,beta Pic,2.68,1.73,1.8,0.04,8052
beta Umi b,6.1,,,beta Umi,1.4,1.4,42.06,2.95,4126
[BHB2007]-1 b,42,,,[BHB2007]-1,50,0.75,,0.0057,4060
BW Scl b,51,1,1600,BW Scl,0.0027,0.85,,,
CD-35 2722 b,31,,,CD-35 2722,67,0.4,,0.1,3680
CD-42 11721 b,60,,,CD-42 11721,835,20,,2.00E-05,29000
CD Cet b,0.01244,,464,CD Cet,0.0185,0.161,0.175,3,3130
CFBDS0059,22.5,,,,,,,,
CFBDSIR J145829+101343 A,25,,,,,,,,
CFBDSIR J145829+101343 b,10.5,,370,,,,,,
CFBDSIR J2149-0403,7.5,,,,,,,,
CFHTWIR-Oph 98 b,7.8,1.86,1800,CFHTWIR-Oph 98,200,0.0154,0.24,0.003,2320
Cha Ha 8 b,25,,,Cha Ha 8,1.02,0.085,,0.003,2967
Cha J110913-773444,8,1.8,1350,,,,,,
Chang 134 b,46,,,Chang 134,,1.38,,,7200
chi Sco b,4.32,,,chi Sco,1.45,1.22,25.92,5.13,4157
chi Vir b,11.09,,,chi Vir,2.14,2.17,20.9,0.95,4445
chi Vir c,3.1,,,chi Vir,0.64,2.17,20.9,0.95,4445
CHXR 73 b,12,,,CHXR 73,200,0.35,,0.002,
Cl Tau b,11.6,,,CI Tau,,0.9,,0.002,
Cl Tau c,3.6,,,Cl Tau,0.17,,,,
COCONUTS-2 b,6.4,1.12,434,COCONUTS-2A,6471,0.37,0.388,0.475,3406
COCONUTS-3 b,39,1.03,1362,COCONUTS-3,1891,,,0.5,2966
CoRoT-10 b,2.75,0.97,,CoRoT-10,0.1055,0.89,0.79,3,5075
CoRoT-11 b,2.33,1.43,,CoRoT-11,0.04351,1.27,1.36,2,6343
CoRoT-12 b,0.917,1.44,,CoRoT-12,0.04016,1.078,1.116,6.3,5675
CoRoT-13 b,1.308,0.885,,CoRoT-13,0.051,1.09,1.01,1.64,5945
CoRoT-14 b,7.6,1.09,,CoRoT-14,0.027,1.13,1.21,4.2,6035
CoRoT-15 b,63.4,1.12,1740,CoRoT-15,0.045,,,,
CoRoT-16 b,0.535,1.17,,CoRoT-16,0.0618,1.098,1.19,6.73,5650
CoRoT-17 b,2.43,1.02,,CoRoT-17,0.0461,1.04,1.59,10.7,5740
CoRoT-18 b,3.47,1.31,,CoRoT-18,0.0295,0.95,1,,5440
CoRoT-19 b,1.11,1.29,,CoRoT-19,0.0518,1.21,1.65,5,6090
CoRoT-1 b,1.03,1.49,,CoRoT-1,0.0254,0.95,1.11,,6298
CoRoT-20 b,4.24,0.84,,CoRoT-20,0.0902,1.14,0.92,0.1,5880
CoRoT-20 c,17,,,CoRoT-20,2.9,1.14,0.92,0.1,5880
CoRoT-21 b,2.26,1.3,,CoRoT-21,0.0417,1.29,1.945,4.1,6200
CoRoT-22 b,0.06,0.4354,885,CoRoT-22,0.092,1.099,1.136,3.3,5939
CoRoT-23 b,2.8,1.08,,CoRoT-23,0.0477,1.14,1.61,7.2,5900
CoRoT-24 b,0.018,0.33,1070,CoRoT-24,0.056,0.91,0.86,11,4950
CoRoT-24 c,0.088,0.44,850,CoRoT-24,0.098,0.91,0.86,11,4950
CoRoT-25 b,0.27,1.08,,CoRoT-25,0.0578,1.09,1.19,5.2,6040
CoRoT-26 b,0.52,1.26,,CoRoT-26,0.0526,1.09,1.79,8.6,5590
CoRoT-27 b,10.39,1.007,1500,CoRoT-27,0.0476,1.05,1.08,4.21,5900
CoRoT-28 b,0.484,0.955,,CoRoT-28,0.059,1.01,1.78,12,5150
CoRoT-29 b,0.85,0.9,,CoRoT-29,0.039,0.976,0.9,4.5,5260
CoRoT-2 b,3.31,1.465,,CoRoT-2,0.0281,0.97,0.902,,5575
CoRoT-30 b,2.9,1.009,,CoRoT-30,0.0844,0.98,0.91,3,5660
CoRoT-31 b,0.84,1.46,,CoRoT-31,0.0586,1.25,2.15,4.7,5370
CoRoT-32 b,0.15,0.57,938,CoRoT-32,0.071,1.09,0.79,,5970
CoRoT-33 b,59.2,1.1,,CoRoT-33,0.0579,0.86,0.94,4.6,5225
CoRoT-35 b,1.1,1.68,1747,CoRoT-35,0.0429,1.01,1.65,6.1,6390
CoRoT-36 b,0.68,1.41,1567,CoRoT-36,0.066,1.32,1.52,2.1,6730
CoRoT-3 b,21.66,1.19,,CoRoT-3,0.057,1.41,1.44,2,6558
CoRoT-4 b,0.72,1.19,,CoRoT-4,0.09,1.1,1.15,1,6190
CoRoT-5 b,0.467,1.33,,CoRoT-5,0.04947,1,1.186,6.9,6100
CoRoT-6 b,2.96,1.166,,CoRoT-6,0.0855,1.055,1.025,,6090
CoRoT-7 b,0.01907,0.136,,CoRoT-7,0.0172,0.93,0.87,1.5,5313
CoRoT-7 c,0.041812,,,CoRoT-7,0.046,0.93,0.87,1.5,5313
CoRoT-7 d,17.142,,,CoRoT-7,0.08,0.93,0.87,1.5,5313
CoRoT-8 b,0.2158,0.5692,,CoRoT-8,0.063,0.88,0.77,3,5080
CoRoT-9 b,0.84,0.94,,CoRoT-9,0.407,0.99,0.94,4,5625
CP Eri b,35,,,CP Eri,0.001246,0.75,,,
CRTS J071126.0+440405 (AB)b,6.8,,,CRTS J071126.0+440405,,0.9,,,
CT Cha b,17,2.2,,CT Cha,440,,,0.002,
CWISE 0146-0508A b,66,,1340,CWISE 0146-0508A,129,0.072,,5,1720
CWISE J050626.96+073842.4,7,1.32,1140,,,,,,
CWISE J105512.11+544328.3,5,,500,,,,,,
CWISEP J144606.62-231717.8,11,,335,,,,,,
CWISEP J1935-1546,11,,315,,,,,,
DANCe J15454024-2422072,8,,1650,,,,,,
DANCe J15481655-2307430,12,,2060,,,,,,
DANCe J15582895-2530319,7,,1560,,,,,,
DANCe J16041234-2127472,10,,1880,,,,,,
DANCe J16053908-2403330,11,,1970,,,,,,
DANCe J16064467-2033428,12,,2060,,,,,,
DANCe J16064553-2121595,10,,1855,,,,,,
DANCe J16081299-2304316,4,,1220,,,,,,
DANCe J16091010-1930376,8,,1710,,,,,,
DANCe J16123953-2614510,12,,2060,,,,,,
DANCe J16134589-2442310,10,,1720,,,,,,
DANCe J16135217-2443562,10,,1880,,,,,,
DANCe J16140756-2211524,11,,1970,,,,,,
DANCe J16255679-2113354,12,,2060,,,,,,
DANCe J16393029-2454135,11,,1970,,,,,,
DE0630-18 a,58,,,,,,,,
DE0630-18 (bc),53,,,,,,,,
DE0823-49 b,31.5,,1670,DE0823-49,0.36,0.045,,0.1,2150
DE CVn b,11,,,DE CVn,5.75,,,,
del Vir b,15.83,,,del Vir,1.33,1.4,65.8,,3657
DH Tau b,11,,,DH Tau,330,0.37,,0.001,
DMPP-4 b,0.0365,,,DMPP-4,0.04853,1.25,1.38,2.15,6400
DoAr 21 (AB)b,35.6,,,DoAr 21 (AB),1.55,2.04,4.06,0.0006,5080
DoAr 21 (AB)c,44,,,DoAr 21 (AB),2.8,2.04,4.06,0.0006,5080
DP Leo (AB) b,6.05,,,DP Leo (AB),8.19,0.69,,,
DS Tuc A b,0.0453,0.5085,,DS Tuc A,0.0795,0.959,0.872,0.04,5597
DW Lyn b,5.58,,,DW Lyn,1.148,,,,
DW Uma b,10.06,,,DW Uma,5.8,,,,
Elias 2-24 b,2.7,,,Elias 2-24,57,1,4.07,0.0004,4483
Elias 2-27 b,11,,,Elias 2-27,500,0.5,2.3,0.0008,3850
EPIC 203868608 (AB) b,25.6,2.49,,EPIC 203868608 (AB),19.3,0.3685,,,
EPIC 212235321 b,55,,,EPIC 212235321,,0.45,,,24500
EPIC 219388192 b,36,0.846,1164,EPIC 219388192,0.0593,0.99,1.01,3.9,5850
eps CrB b,6.7,,,eps CrB,1.3,1.7,21,1.74,4406
eps Eridani b,0.76,,,eps Eridani,3.53,0.83,0.895,0.66,5116
eps Ind A b,2.96,,,eps Ind A,11.08,0.762,,1.4,
Eps Ret Ab,1.35,,,eps Ret A,1.16,1.2,6.6,7.15,4749
eps Tau b,7.34,,,eps Tau,1.9,2.7,13.7,0.625,4901
EROS-MP J0032-4405,50,,,,,,,,
ES Cet b,62,0.494,,ES Cet,0.000665,0.7,0.01,,130000
eta2 Hyi b,6.29,,,eta2 Hyi,1.89,1.91,13,1.25,4975
eta Cet b,2.55,,,eta Cet,1.27,1.7,14.3,,4528
eta Cet c,3.32,,,eta Cet,1.93,1.7,14.3,,4528
eta Tel b,48,,,eta Tel,218,2.09,,,
Exo-comet KIC 3542116,,,,KIC 3542116,,1.5,1.44,,6925
FL Lyr b,9,,,FL Lyr,,2.2,,,
FU Tau b,15,,,FU Tau,800,0.05,,0.001,2838
G 196-3 b,15,,1870,G 196-3,,0.4,,,3400
G 204-39 b,29,,,G 204-39,2685,0.36,,1,
G 264-012 b,0.0079,,587,G 264-012,0.02279,0.297,0.305,,3326
G 264-012 c,0.0118,,387,G 264-012,0.0525,0.297,0.305,,3326
G 9-40 b,0.013,0.17,440.6,G 9-40,0.0418,0.29,0.31,9.9,3348
Gaia14aae b,25.3,0.603,,Gaia14aae,,,,,
Gaia-1 b,1.68,1.229,,Gaia-1,0.04047,0.93,0.962,,5370
Gaia22dkv b,0.5,,,Gaia22dkv,1.63,1.24,,,
Gaia-2 b,0.773,1.327,,Gaia-2,0.0467,1,1.064,,5720
Gaia-3 b,7.3,,,Gaia-3,0.799,0.705,0.69,7.9,4300
Gaia EDR3 2077240046296834304 b,,0.81,,Gaia EDR3 2077240046296834304,0.032,0.749,0.72,,4410
gamma 1 Leo b,63.88,,,gamma 1 Leo,1.19,1.23,31.88,,4330
gamma Cephei b,17.539,,,gamma Cephei,2.1459,1.4,4.9,6.6,4800
gamma Lib b,1.029,,,gamma Lib,1.2397,1.47,11.1,2.8,4822
gamma Lib c,4.63,,,gamma Lib,2.1761,1.47,11.1,2.8,4822
gam Psc b,1.34,,,gam Psc,1.32,,,,
GD 140 b,3.74,,,GD 140,,0.97,,,
GJ 1002 b,0.0034,,,GJ 1002,0.0457,,,,
GJ 1002 c,0.00428,,,GJ 1002,0.0738,,,,
GJ 1018 b,0.00843,0.1356,458,GJ 1018,0.0559,0.427,0.428,7,3433
GJ 1061 b,0.00453,,,GJ 1061,0.021,0.12,0.156,7,2953
GJ 1061 c,0.00547,,,GJ 1061,0.035,0.12,0.156,7,2953
GJ 1061 d,0.00494,,,GJ 1061,0.052,0.12,0.156,7,2953
GJ 1132 b,0.00522,0.1035,580,GJ 1132,0.0154,0.181,0.207,5,3270
GJ 1132 c,0.00831,,579,GJ 1132,0.0476,0.181,0.207,5,3270
GJ 1214 b,0.02571,0.24463,,GJ 1214,0.01411,0.15,0.216,6,3026
GJ 1252 b,0.00415,0.1053,997,GJ 1252,0.00916,0.381,0.391,,3458
GJ 1265 b,0.0233,,,GJ 1265,0.026,0.178,0.192,,3236
GJ 1289 b,0.01973,,150,GJ 1289,0.27,0.21,0.245,,3175
GJ 143 b,0.0714,0.2329,,GJ 143,0.1932,0.76,0.73,3.8,4640
GJ 143 c,0.01164,0.07958,703,GJ 143,0.0695,0.76,0.73,3.8,4640
GJ 15A b,0.00953,,,GJ 15A,0.072,0.375,0.3863,,3567
GJ 15A c,0.113,,,GJ 15A,5.4,0.375,0.3863,,3567
GJ 160.2 b,0.0245,,,GJ 160.2,0.079,0.69,,,4347
GJ 163 b,0.0311,,,GJ 163,0.06,0.4,,3,
GJ 163 c,0.0239,,,GJ 163,0.124,0.4,,3,
GJ 163 d,0.0636,,,GJ 163,1.021,0.4,,3,
GJ 163 e,0.0428,,,GJ 163,0.7,0.4,,3,
GJ 163 f,0.0214,,,GJ 163,0.326,0.4,,3,
GJ 176 b,0.025,,,GJ 176,0.066,0.49,0.53,,
GJ 176 c,0.0233,,,GJ 176,0.146,0.49,0.53,,
GJ 179 b,0.7391,,,GJ 179,2.41,0.357,0.38,,3370
GJ 179 c,0.0154,,,GJ 179,0.032,0.357,0.38,,3370
GJ 180 b,0.02124,,,GJ 180,0.092,0.43,,,3371
GJ 180 c,0.020136551,,,GJ 180,0.129,0.43,,,3371
GJ 180 d,0.02357,,,GJ 180,0.31,0.43,,,3371
GJ 2030 b,0.014,,,GJ 2030,0.034,1,,,
GJ 2030 c,12.934,,,GJ 2030,16.752,1,,,
GJ 2056 b,0.051,,,GJ 2056,0.283,,,,
GJ 2056 c,0.4443,,,GJ 2056,3.453,,,,
GJ 229 A b,0.03153,,,GJ 229,0.896,0.58,,,3564
GJ 229 A c,0.02495,,,GJ 229,0.339,0.58,,,3564
GJ 229 B,35,,1200,GJ 229,19.433,0.58,,,3564
GJ 238 b,,0.0505,758,GJ 238,0.02123,0.42,0.566,,3485
GJ 251 b,0.013,,351,GJ 251,0.0818,0.36,0.364,,3451
GJ 27.1 b,0.040902369,,,GJ 27.1,0.101,0.53,,,3542
GJ 273 b,0.00922,,,GJ 273,0.091,0.29,0.293,,3382
GJ 273 c,0.00374,,,GJ 273,0.036,0.29,0.293,,3382
GJ 273 d,0.03448,,,GJ 273,0.712,0.29,0.293,,3382
GJ 273 e,0.0297,,,GJ 273,0.849,0.29,0.293,,3382
GJ 3021 b,3.37,,,GJ 3021,0.49,0.9,0.9,8.77,5540
GJ 3082 b,0.02759,,,GJ 3082,0.079,0.47,,,
GJ 3090 b,0.01051,0.19,692,GJ 3090,0.03165,0.519,0.516,,3556
GJ 3138 b,0.0132,,,GJ 3138,0.057,0.681,0.5,,3717
GJ 3138 c,0.0056,,,GJ 3138,0.0197,0.681,0.5,,3717
GJ 3138 d,0.033,,,GJ 3138,0.698,0.681,0.5,,3717
GJ 317 b,1.7528,,,GJ 317,1.151,0.42,,,3510
GJ 317 c,1.644,,,GJ 317,5.23,0.42,,,3510
GJ 3222 Ab,0.036,,,GJ 3222 A,0.091,0.86,,3.7,5257.46
GJ 3222 Ac,52.213,,,GJ 3222 A,2.391,0.86,,3.7,5257.46
GJ 328 b,2.3,,,GJ 328,4.5,0.69,,,3900
GJ 328 c,0.0673,,,GJ 328,0.657,0.69,,,3900
GJ 3293 b,0.07406,,,GJ 3293,0.14339,0.42,0.404,,3466
GJ 3293 c,0.06636,,,GJ 3293,0.36175,0.42,0.404,,3466
GJ 3293 d,0.024,,,GJ 3293,0.194,0.42,0.404,,3466
GJ 3293 e,0.0103,,,GJ 3293,0.0821,0.42,0.404,,3466
GJ 3323 b,0.00636,,,GJ 3323,0.03282,0.164,0.119,,3159
GJ 3323 c,0.00727,,,GJ 3323,0.1264,0.164,0.119,,3159
GJ 3341 b,0.35717,,,GJ 3341,0.089,0.47,0.349,,3526
GJ 338 Bb,0.0327,,,GJ 338 B,0.142,0.64,0.58,4,4005
GJ 341 b,0.00227,0.0821,540,GJ 341,0.0608,0.522,0.525,,3745
GJ 3470 b,0.03546,0.38826,590,GJ 3470,0.03557,0.51,0.48,1.6,3652
GJ 3473 b,0.00585,0.11277,773,GJ 3473,0.01589,0.36,0.364,,3347
GJ 3473 c,0.0214,,329,GJ 3473,0.0876,0.36,0.364,,3347
GJ 3512 b,0.46,,,GJ 3512,0.337,0.123,0.139,,3081
GJ 3512 c,0.2,,,GJ 3512,1.292,0.123,0.139,,3081
GJ 357 b,0.006566,0.10411,525,GJ 357,0.033,0.342,0.337,,3505
GJ 357 c,0.01158,,401,GJ 357,0.0607,0.342,0.337,,3505
GJ 357 d,0.0227,,220,GJ 357,0.204,0.342,0.337,,3505
GJ 3634 b,0.026,,,GJ 3634,0.0287,0.45,0.43,,
GJ 367  b,0.001718,0.0526,1416,GJ 367,0.0069,0.454,0.457,,3522
GJ 367 c,0.01284,,,GJ 367,,0.454,0.457,,3522
GJ 367 d,0.01897,,,GJ 367,,0.454,0.457,,3522
GJ 3779 b,0.0252,,,GJ 3779,0.026,0.27,0.281,,3324
GJ 3929 b,0.00381,0.1026,569,GJ 3929,0.02569,0.309,0.35,,3369
GJ 3929 c,0.01658,,326.5,GJ 3929,0.078,0.309,0.35,,3369
GJ 393 b,0.00538,,485,GJ 393,0.05402,0.426,0.426,,3579
GJ 3942 b,0.0225,,,GJ 3942,0.0608,0.63,0.61,,3867
GJ 3988 b,0.01161,,349,GJ 3988,0.0405,0.1842,0.19734,,3273
GJ 3998 b,0.00777,,,GJ 3998,0.029,0.5,0.49,,3722
GJ 3998 c,0.0197,,,GJ 3998,0.089,0.5,0.49,,3722
GJ 414 A b,0.02762,0.2632,303.7,GJ 414 A,0.24,0.65,0.68,12.4,4120
GJ 414 A c,0.17705,0.7833,123.3,GJ 414 A,1.43,0.65,0.68,12.4,4120
GJ 422 b,0.03285,,,GJ 422,0.111,0.35,,,3323
GJ 4276 b,0.0481,,,GJ 4276,0.082,0.406,0.407,6.9,3387
GJ 4276 c,0.0135,,,GJ 4276,0.052,0.406,0.407,6.9,3387
GJ 433 b,0.01869,,,GJ 433,0.062,0.48,,,3600
GJ 433 c,0.09055,,,GJ 433,4.692,0.48,,,3600
GJ 433 d,0.01554,,,GJ 433,0.178,0.48,,,3600
GJ 436 b,0.05836,0.32519,580,GJ 436,0.02887,0.452,0.464,6,3684
GJ 463 b,3.6,,,GJ 463,3.53,0.49,0.49,,3540
GJ 480 b,0.0415,,,GJ 480,0.068,,,,
GJ 486 b,0.00887,0.11643,700,GJ 486,0.01734,0.323,0.328,,3340
GJ 536 b,0.0169,,,GJ 536,0.06661,0.52,0.5,,3685
GJ 570 D,42.5,0.855,810,GJ 570 ABC,1500,0.802,,,4758
GJ 581 b,0.04782,,,GJ 581,0.041,0.31,0.3,8,3498
GJ 581 c,0.017783,,,GJ 581,0.074,0.31,0.3,8,3498
GJ 581 e,0.005214,,,GJ 581,0.029,0.31,0.3,8,3498
GJ 625 b,0.0095,,,GJ 625,0.078399,0.3,0.31,,3499
GJ 649 b,0.328,,,GJ 649,1.135,0.54,,,3700
GJ 649 c,0.03,,,GJ 649,0.043,0.54,,,3700
GJ 667 C b,0.0176,,,GJ 667 C,0.0505,0.33,,2,3600
GJ 667 C c,0.012,,,GJ 667 C,0.125,0.33,,2,3600
GJ 667 C e,0.0085,,,GJ 667 C,0.213,0.33,,2,3600
GJ 667 C f,0.0085,,,GJ 667 C,0.156,0.33,,2,3600
GJ 667 C g,0.0145,,,GJ 667 C,0.549,0.33,,2,3600
GJ 674 b,0.04,1.13,,GJ 674,0.039,0.35,,0.55,3600
GJ 676 Ab,5.792,,,GJ 676 A,1.735,0.71,,,
GJ 676 Ac,13.492,,,GJ 676 A,9.726,0.71,,,
GJ 676 Ad,0.014,,,GJ 676 A,0.0413,0.71,,,
GJ 676 Ae,0.036,,,GJ 676 A,0.187,0.71,,,
GJ 682 b,0.013843879,,,GJ 682,0.08,0.27,,,3028
GJ 682 c,0.027365121,,,GJ 682,0.176,0.27,,,3028
GJ 685 b,0.0283,,,GJ 685,0.1344,0.55,0.54,,3816
GJ 687 b,0.0541,,,GJ 687,0.163,0.413,0.4183,,3413
GJ 687 c,0.05,,,GJ 687,1.165,0.413,0.4183,,3413
GJ 720 Ab,0.04292,,309,GJ 720 A,0.119,0.57,0.56,,3837
GJ 724 b,0.03382,,643,GJ 724,0.04685,0.5271,0.52226,,3799
GJ 740 b,0.00931,,829,GJ 740,0.029,,,,
GJ 752 A b,0.0384,,,GJ 752 A,0.3357,0.45,0.453,5.5,3557
GJ 758 b,37.9,,741,GJ 758,33,0.97,0.88,8.2,5425
GJ 785 b,0.0532,,355,GJ 785,0.32,0.78,0.68,,5144
GJ 785 c,0.076,,185,GJ 785,1.18,0.78,0.68,,5144
GJ 832 b,0.74,,,GJ 832,3.6,0.45,,,
GJ 849 b,0.9,,,GJ 849,2.35,0.49,0.52,,
GJ 849 c,0.77,,,GJ 849,,0.49,0.52,,
GJ 86 b,4.27,,,GJ 86,0.1177,0.8,0.855,2.03,5350
GJ 876 b,3.6,,,GJ 876,0.214,0.334,0.36,2.5,3350
GJ 876 c,0.698,,,GJ 876,0.134,0.334,0.36,2.5,3350
GJ 876 d,0.021741,,,GJ 876,0.021,0.334,0.36,2.5,3350
GJ 876 e,0.04855,,,GJ 876,0.345,0.334,0.36,2.5,3350
GJ 887 b,0.0132,,468,GJ 887,0.068,0.489,0.4712,,3688
GJ 887 c,0.0239,,352,GJ 887,0.12,0.489,0.4712,,3688
GJ 896A b,2.26,,,GJ 896A,0.64282,0.43589,,,
GJ 900 (ABC)b,11,,,GJ 900,12000,0.675,0.716,0.2,
GJ 9066 c,0.23,,,GJ 9066,0.88,0.15,0.164,,3154
GJ 9404 b,0.0374,,,GJ 9404,0.0943,0.62,,,1432
GJ 9689 b,0.03036,,450,GJ 9689,0.1139,0.59,0.57,8.9,3836
GJ 96 b,0.06186,,,GJ 96,0.291,0.6,,,3785
GJ 9714 Ab,9.403,,,GJ 9714 A,12.319,0.67,0.662,,4263
GJ 9827 b,0.01532,0.13641,1043.5,GJ 9827,0.01866,0.659,0.651,,4255
GJ 9827 c,0.00604,0.107,721.9,GJ 9827,0.03896,0.659,0.651,,4255
GJ 9827 d,0.01076,0.17441,604.9,GJ 9827,0.0555,0.659,0.651,,4255
[GKH94]41,49,,,[GKH94]41,,,,,
Gl 378 b,0.04097,,,Gl 378,0.039435,0.56,0.56,,3879
Gl 514 b,0.0164,,202,Gl 514,0.422,0.51,0.5,,3714
Gl 569B b,20,,,Gl 569B,,0.35,,,
Gl 686 b,0.02029,,379,Gl 686,0.0912,0.42,0.42,,3663
GLASS-JWST-BD1,31,,,,,,,,
Gliese 12 b,0.00494,0.0919,287,Gliese 12,0.066,0.241,0.269,7,3253
Gliese 49 Ab,0.01771,,,Gliese 49 A,0.0905,0.515,0.511,,3805
GP Com b,26.2,,,GP Com,,0.33,,,
GPX-1 b,19.7,1.47,2300,GPX-1,0.0338,1.68,1.56,0.27,7000
GQ Lup b,31,4.6,,GQ Lup,32,0.7,,0.001,
GSC 08047-00232 b,25,,,GSC 08047-00232,,0.8,,0.03,
GSC 6214-210 b,17,,,GSC 6214-210,320,0.6,,0.011,
GU Psc b,11,1.35,1050,GU Psc,2000,0.35,,0.1,
HAT-P-10 A b,0.46,1.045,,HAT-P-10 A,0.0439,0.82,0.81,11.2,4980
HAT-P-11 b,0.0736,0.389,750,HAT-P-11,0.053,0.809,0.683,6.5,4780
HAT-P-11 c,3.06,,,HAT-P-11,4.19,0.809,0.683,6.5,4780
HAT-P-12 b,0.210489885,0.949,965,HAT-P-12,0.0384,0.73,0.7,2.5,4650
HAT-P-13 b,0.85,1.28,,HAT-P-13,0.0426,1.22,1.56,5,5638
HAT-P-13 c,14.28,,,HAT-P-13,1.186,1.22,1.56,5,5638
HAT-P-14 b,2.444,1.01,,HAT-P-14,0.0606,1.386,1.468,1.3,6600
HAT-P-15 b,1.946,1.072,,HAT-P-15,0.0964,1.013,1.08,6.8,5568
HAT-P-16 b,4.193,1.289,,HAT-P-16,0.0413,1.218,1.237,2,6158
HAT-P-17 b,0.534,1.01,,HAT-P-17,0.0882,0.857,0.837,7.8,5246
HAT-P-17 c,1.4,,,HAT-P-17,2.75,0.857,0.837,7.8,5246
HAT-P-18 b,0.183,0.947,841,HAT-P-18,0.0559,0.77,0.717,12.4,4870
HAT-P-19 b,0.292,1.132,,HAT-P-19,0.0466,0.842,0.82,8.8,4990
HAT-P-1 b,0.525,1.319,1322,HAT-P-1,0.05561,1.151,1.174,3.6,5980
HAT-P-20 b,7.246,0.867,,HAT-P-20,0.0361,0.756,0.694,6.7,4595
HAT-P-21 b,4.063,1.024,,HAT-P-21,0.0494,0.947,1.105,10.2,5588
HAT-P-22 b,2.147,1.08,,HAT-P-22,0.0414,0.916,1.04,12.4,5302
HAT-P-23 b,2.09,1.368,,HAT-P-23,0.0232,1.13,1.29,4,5924
HAT-P-24 b,0.685,1.242,,HAT-P-24,0.0465,1.191,1.317,2.8,6373
